Date, Open, High, Low, Close, Volume
01/22/25, 74.50, 77.16, 73.80, 76.87, 66876367
01/21/25, 73.24, 73.6363, 70.6007, 73.07, 56228969
01/17/25, 70.90, 72.34, 69.95, 71.77, 54753980
01/16/25, 69.08, 71.43, 68.36, 69.24, 62908660
01/15/25, 68.55, 68.85, 67.08, 68.14, 56025754
01/14/25, 67.18, 68.23, 65.19, 65.91, 56814898
01/13/25, 64.29, 65.68, 63.40, 64.98, 69046328
01/10/25, 66.01, 68.20, 65.04, 67.26, 78148641
01/08/25, 68.12, 69.53, 66.51, 68.23, 91349516
01/07/25, 75.20, 75.39, 69.75, 69.99, 91727352
01/06/25, 78.69, 80.06, 74.61, 75.92, 105619508
01/03/25, 75.39, 79.98, 75.19, 79.89, 62415008
01/02/25, 76.20, 76.53, 72.42, 75.19, 72217195
12/31/24, 77.58, 77.9796, 73.65, 75.63, 56267941
12/30/24, 77.04, 79.24, 76.11, 77.18, 60850859
12/27/24, 81.42, 82.00, 77.93, 79.08, 66975891
12/26/24, 83.16, 83.49, 81.30, 82.14, 60547754
12/24/24, 81.09, 84.7968, 81.00, 82.38, 64983262
12/23/24, 80.65, 82.02, 77.41, 80.69, 93819477
12/20/24, 72.64, 80.66, 71.50, 80.55, 281230781
12/19/24, 73.99, 76.59, 73.37, 74.21, 99524328
12/18/24, 74.30, 77.60, 70.27, 71.51, 109643398
12/17/24, 73.28, 75.32, 71.70, 74.39, 75469391
12/16/24, 75.06, 77.82, 71.16, 75.75, 126099602
12/13/24, 73.49, 76.10, 72.45, 76.07, 76172789
12/12/24, 72.30, 75.38, 71.90, 73.20, 73859672
12/11/24, 72.98, 73.00, 68.07, 72.51, 89477664
12/10/24, 71.99, 75.56, 70.73, 70.89, 89672469
12/09/24, 80.58, 80.91, 71.05, 72.46, 168134797
12/06/24, 72.95, 76.82, 72.28, 76.34, 93640898
12/05/24, 70.11, 72.98, 69.89, 71.87, 66585758
12/04/24, 71.13, 71.18, 67.28, 69.85, 86284797
12/03/24, 66.41, 71.37, 66.15, 70.96, 100751398
12/02/24, 67.44, 67.88, 65.96, 66.39, 46404969
11/29/24, 65.89, 67.16, 65.47, 67.08, 30104051
11/27/24, 66.24, 67.56, 64.24, 66.05, 53839898
11/26/24, 64.57, 65.85, 63.89, 65.74, 46923566
11/25/24, 66.90, 67.88, 64.08, 64.65, 80640469
11/22/24, 61.60, 64.44, 61.37, 64.35, 61381711
11/21/24, 62.04, 63.40, 60.895, 61.36, 56336738
11/20/24, 62.59, 63.08, 59.96, 62.12, 59182180
11/19/24, 59.51, 63.01, 59.265, 62.98, 75557820
11/18/24, 64.92, 64.92, 58.85, 61.26, 137877594
11/15/24, 61.01, 66.00, 60.91, 65.77, 155280406
11/14/24, 61.05, 61.17, 58.53, 59.18, 59968238
11/13/24, 61.52, 63.39, 59.85, 60.70, 85937359
11/12/24, 59.01, 60.09, 58.57, 59.85, 59061340
11/11/24, 60.133, 62.08, 58.69, 60.24, 108357797
11/08/24, 55.57, 58.48, 55.30, 58.39, 84124031
11/07/24, 55.82, 56.47, 53.55, 55.88, 121591203
11/06/24, 53.44, 55.69, 51.61, 55.53, 114255906
